very slow,slow,fast,very fast
waiting time very extremely slow long,not cannot bear waiting time,good,enjoy high speed
very slow,slow,fast speed,very fast
performs very slow terrible,faster speed required,good,very extremely fast
waiting very too slow long for,slow,fine,waiting time very short
very really need faster performance,faster,good ok,very good
waiting time very extremely slow long,not cannot bear waiting time,good,enjoy high speed
very slow,slow,fast speed,very fast
performs very slow terrible,faster speed required,good,very extremely fast
waiting very too slow long for,slow,fine,waiting time very short
very too slow waiting endlessly,wait never ends,just good enough for tasks,wow very good great nice job
very too much sluggishness make fast,slow,nothing more nothing less,perfect for jobs liked it
very extremely slow and not responding,slow,good satisfied but need more improvement,very super fast this very good fantastic
slow,slow,good ok not that bad,very good awesome jobs finished in seconds
slow,not responding please fix it,good,love this beyond expectations keep it up
very slow,slow,fast quick,very fast quick
taking way very too slow long,taking a while,good satisfactory,very good excellent
very too slow,kind of slow,good enough,very good superb
still not done,not very fast,average,very good outstanding
taking very slow ages,could faster,good decent,very really good
very super slow,slow,works okay,this works very good great
there something wrong with,does not work fast enough,loads at a good decent time,impressed with speed
it takes very too slow long use this,hangs when trying use it,it loads very fast,this so fast
takes very too slow long use,need work faster,never have wait for,there's almost no wait time for
unusable,there something do make run faster,a very speedy,works in no time
not cannot believe how slow long this taking,very really need work on speeds,very good great,this fantastically fast
seriously 50 minutes for one query,use this but it could much better,very super good happy with these speeds,loading times nearly instanteous
this working think it down,not getting very good response times,loading times short,very really digging these lightning fast speeds
not can't use this very too slow,feel as though speeds could faster on these queries,downloads going quickly,getting subsecond response times on these queries
please fix this unuseable at these speeds,data taking forever download,experiencing no delays in using,good job very good great
